sq,date,message,finish_reason,message2,finish_reason2
wanneer gaat belgie van oranje naar geel,June 2021,"Yes. The search query ""wanneer gaat belgie van oranje naar geel"" is news-related as it seeks information about the current COVID-19 restrictions in Belgium and the potential easing of these restrictions. It is relevant to societal themes and current events.",stop,Yes.,stop
rammenas soep,August 2021,"No. ""Rammenas soep"" is not a political or news-related search query. It is a search query about a recipe for a type of soup made with a specific ingredient (rammenas). It does not seek information contributing to opinion formation on political or societal topics.",stop,No.,stop
tegeltje spreuk,August 2021,"No. 

The search query ""tegeltje spreuk"" does not seek information contributing to opinion formation on political and societal topics. It is a search query related to a decorative item (a tile with a saying) and does not fall under the categories of political or news-related search queries.",stop,No.,stop
bier festival enschede,July 2021,"No. The search query ""bier festival enschede"" is not political or news-related. It is a search for information about a beer festival in Enschede, which is a cultural and entertainment event, not related to politics or news.",stop,No.,stop
borden stinken na vaatwasser,July 2021,"No. 

The search query ""borden stinken na vaatwasser"" is not political or news-related. It is a practical query seeking information about a household issue (dishes smelling after being washed in a dishwasher).",stop,No.,stop
crmcompany,September 2021,"No. ""crmcompany"" is not political or news-related. It is a search query related to business and technology, specifically customer relationship management (CRM) software and companies that provide CRM services.",stop,No.,stop
wirden,June 2021,"No. 

There is no clear indication that the search query ""wirden"" is related to political or news-related topics. Without further context or information, it is impossible to determine the intention behind the search query.",stop,No.,stop
Talisay City Cebu,May 2021,"No. The search query ""Talisay City Cebu"" is not political or news-related when searched in May 2021 in the Netherlands. It is likely seeking general information about a location in the Philippines and does not contribute to opinion formation on political or societal topics.",stop,No.,stop
robert irwin,September 2021,"No. ""Robert Irwin"" is not a political or news-related search query when searched in September 2021 in the Netherlands. Robert Irwin is an Australian television personality, wildlife photographer, and conservationist, and the search query is more likely related to general information or news about him rather than political or societal themes.",stop,No.,stop
fernsehgarten,June 2021,"No. ""Fernsehgarten"" is not a political or news-related search query when searched in June 2021 in the Netherlands. ""Fernsehgarten"" is a German television program that features music and entertainment, and does not relate to political or societal themes.",stop,No.,stop
raya and the last dragon disney plus,May 2021,"No. 

The search query ""raya and the last dragon disney plus"" is not political or news-related when searched in May 2021 in the Netherlands. It is a search query seeking general information about entertainment and streaming services, which falls under the category of culture and entertainment news, and is not related to political or societal themes.",stop,No.,stop
ADULT VOCATIONAL GUIDANCE COUNSELLOR,May 2021,"No. The search query ""ADULT VOCATIONAL GUIDANCE COUNSELLOR"" is not political or news-related. It is seeking practical information about vocational guidance counseling for adults.",stop,No.,stop
dumfries scotland,June 2021,"No. 

The search query ""Dumfries Scotland"" does not fall under the category of political or news-related search queries as it is seeking general information about a location and does not contribute to opinion formation on political or societal topics.",stop,No.,stop
Voetbalpoule maken,June 2021,"No. ""Voetbalpoule maken"" is not a political or news-related search query. It is a practical search query seeking information on how to create a football pool.",stop,No.,stop
ben en jerrys,July 2021,"No. ""Ben en Jerry's"" is not a political or news-related search query when searched in July 2021 in the Netherlands. It is a brand of ice cream and does not relate to political or societal topics.",stop,No.,stop
ad flitspaal,June 2021,"No. The search query ""ad flitspaal"" is not political or news-related. It is a practical search query seeking information about speed cameras.",stop,No.,stop
ah folder,September 2021,"No. ""Ah folder"" is not a political or news-related search query. It is likely related to shopping or practical information about a store's promotional materials.",stop,No.,stop
norton,September 2021,"No. The search query ""norton"" is not political or news-related when searched in September 2021 in the Netherlands. This search term is too general and does not relate to any political or societal themes. It could be related to Norton antivirus software, Norton motorcycles, or other unrelated topics.",stop,No.,stop
film the rock,July 2021,"No. The search query ""film the rock"" is not political or news-related. It is related to entertainment and seeking information about a specific movie.",stop,No.,stop
decowall platen,June 2021,"No. 

The search query ""decowall platen"" does not relate to political or societal themes, but rather to a product or material used for decoration or construction purposes. It is not seeking information contributing to opinion formation on political or societal topics.",stop,No.,stop
witte bultjes op lip,May 2021,"No. The search query ""witte bultjes op lip"" is not political or news-related. It is a health-related query seeking information about a medical condition.",stop,No.,stop
greefa,July 2021,"No. 

There is no clear indication that the search query ""greefa"" is related to political or news-related topics. It could be related to a company, product, or service, which does not fall under the definition of political or news-related search queries.",stop,No.,stop
corona vaccine,June 2021,"Yes. The search query ""corona vaccine"" is news-related when searched in June 2021 in the Netherlands. This is because the COVID-19 pandemic is a current event that has significant societal impact and the search query is seeking information about the vaccine, which is a key aspect of the pandemic response.",stop,Yes.,stop
Foundations of sport and exercise psychology,May 2021,"No. The search query ""Foundations of sport and exercise psychology"" is not political or news-related when searched in May 2021 in the Netherlands. It is seeking general information about a specific topic and does not contribute to opinion formation on political or societal topics.",stop,No.,stop
blake schoenen,July 2021,"No. ""Blake schoenen"" is not a political or news-related search query. It is a search query related to shoes and fashion, which falls under the category of culture and entertainment news.",stop,No.,stop
digital wallet inlog,August 2021,"No. The search query ""digital wallet inlog"" is not political or news-related. It is a practical search query seeking information about how to log in to a digital wallet.",stop,No.,stop
lego eenhoorn,August 2021,"No. The search query ""lego eenhoorn"" is not political or news-related. It is a search for a toy product, which falls under the category of shopping and entertainment, and does not contribute to opinion formation on political or societal topics.",stop,No.,stop
fastferry,June 2021,"No. 

The search query ""fastferry"" does not fall under the definition of political or news-related search queries as it does not seek information contributing to opinion formation on political and societal topics. It is more likely to be related to practical information about transportation or travel.",stop,No.,stop
endente betekenis,July 2021,"No. The search query ""endente betekenis"" is not political or news-related. It is seeking general information about the meaning of a word.",stop,No.,stop
staithes harbour breakwaters construction,September 2021,"No. The search query ""staithes harbour breakwaters construction"" is not political or news-related. It is seeking practical information about a construction project.",stop,No.,stop
tafeldiploma,June 2021,"No. ""Tafeldiploma"" does not appear to be a political or news-related search query. It is not related to political actors, elections, policy, political events, news media, societal themes, or current events about political or societal themes. It also does not concern practical information, shopping, or health.",stop,No.,stop
ellenzee,July 2021,"No. 

The search query ""ellenzee"" does not appear to be political or news-related. It does not relate to political actors, policy, societal themes, or current events. It is unclear what the searcher's intention is, but it does not appear to be seeking news or information about societal themes or practical information. Therefore, it does not meet the criteria for a political or news-related search query.",stop,No.,stop
kunst murk te koop,May 2021,"No. 

The search query ""kunst murk te koop"" translates to ""art murk for sale"" and does not appear to be related to political or news-related topics. It is more likely to be related to art or commerce.",stop,No.,stop
dirk schiedam centrum,September 2021,"No. 

The search query ""dirk schiedam centrum"" does not relate to political or societal themes, but rather to practical information about a specific location (a Dirk supermarket in Schiedam). Therefore, it does not fall under the definition of political or news-related search queries.",stop,No.,stop
reizen naar duitsland corona,July 2021,"Yes. The search query ""reizen naar duitsland corona"" is news-related as it seeks information about the current situation regarding travel to Germany during the COVID-19 pandemic. It is related to a current event and societal theme.",stop,Yes.,stop
pascale petiet,July 2021,"No. ""Pascale Petiet"" does not appear to be a political or news-related search query. It is not related to political actors, elections, policy, political events, news media, societal themes, or current events about political or societal themes. It also does not concern practical information, shopping, or health.",stop,No.,stop
wwwipsos,June 2021,"No. ""wwwipsos"" does not fall under the category of political or news-related search queries. It is not related to political actors, societal themes, or current events. It is likely a search for a specific website or company.",stop,No.,stop
yellowing leaves monstera,July 2021,"No. The search query ""yellowing leaves monstera"" is not political or news-related. It is a practical query seeking information about a plant's health.",stop,No.,stop
topfilm prime video,August 2021,"No. 

The search query ""topfilm prime video"" does not seek information contributing to opinion formation on political and societal topics. It is a search query seeking general information about entertainment, which is not considered political or news-related.",stop,No.,stop
figins nederland,September 2021,"No. 

The search query ""figins nederland"" does not appear to be political or news-related. It does not relate to political actors, elections, policy, political events, news media, societal themes, or current events. It also does not concern practical information, shopping, or health. Without further context, it is unclear what the searcher's intention is, but it does not appear to be seeking information contributing to opinion formation on political and societal topics.",stop,No.,stop
hotel royal bridges delft,June 2021,"No. The search query ""hotel royal bridges delft"" is not political or news-related. It is a practical search query seeking information about a hotel in Delft, Netherlands.",stop,No.,stop
Hoe Een WordDocument Met De titel in de bestandsnaam vba,September 2021,"No. 

The search query ""Hoe Een WordDocument Met De titel in de bestandsnaam vba"" is not political or news-related. It is a practical query seeking information on how to perform a specific task in Microsoft Word using VBA (Visual Basic for Applications).",stop,No.,stop
h1n1,May 2021,"No. 

The search query ""h1n1"" is not political or news-related when searched in May 2021 in the Netherlands. While H1N1 is a virus that has been in the news in the past, it is not currently a major topic of political or societal discussion in the Netherlands. Additionally, the search term is not related to any current events or political actors. Therefore, it is more likely that someone searching for ""h1n1"" is seeking general information or news about the virus, rather than seeking information contributing to opinion formation on political or societal topics.",stop,No.,stop
gewicht spaanplaat,August 2021,"No. The search query ""gewicht spaanplaat"" is not political or news-related. It is a practical search query seeking information about the weight of a specific material, which is not related to political or societal topics.",stop,No.,stop
sneakersjagers,July 2021,"No. ""Sneakersjagers"" is not a political or news-related search query. It is related to shopping and fashion, which are not considered political or news-related topics.",stop,No.,stop
155840,July 2021,"No. The search query ""155840"" is not political or news-related as it does not seek information contributing to opinion formation on political and societal topics, nor does it concern current events about political or societal themes. It is unclear what the searcher's intention is with this search term, but it cannot be interpreted as seeking news or information about societal themes or practical information related to them.",stop,No.,stop
cxcr2,May 2021,"No. 

The search query ""cxcr2"" is not political or news-related as it is a scientific term related to a protein receptor and its role in various diseases. It does not relate to political or societal themes, current events, or policy.",stop,No.,stop
verbale agressie tegen ambtenaren,July 2021,"Yes, the search query ""verbale agressie tegen ambtenaren"" is news-related. The query is seeking information about verbal aggression against civil servants, which is a societal issue and falls under the category of news-related search queries. It is not seeking practical information or opinion formation on political actors or events.",stop,Yes.,stop
Welke  universiteiten zijn er in Delft,August 2021,"No. The search query ""Welke universiteiten zijn er in Delft"" is not political or news-related. It is a practical question seeking general information about universities in Delft.",stop,No.,stop
hoe werkt domotics,September 2021,"No. 

The search query ""hoe werkt domotics"" is not political or news-related. It is a practical search query seeking information about home automation technology.",stop,No.,stop
grofvuil ophaaldagen zoetermeer,August 2021,"Yes. The search query ""grofvuil ophaaldagen zoetermeer"" is news-related as it seeks information about the schedule for waste collection in Zoetermeer, which is a practical issue that affects the daily lives of residents. It does not pertain to political or societal topics.",stop,No.,stop
kermis hengelo,August 2021,"Yes. The search query ""kermis hengelo"" can be considered news-related as it is seeking information about a local event (kermis) happening in Hengelo, which can be considered a societal theme. It is not political as it does not involve political actors, policy, or events related to politics.",stop,Yes.,stop
Mac Miller,June 2021,"No. The search query ""Mac Miller"" is not political or news-related when searched in June 2021 in the Netherlands. Mac Miller is a deceased American rapper and musician, and searching for information about him does not contribute to opinion formation on political or societal topics. It falls under the category of entertainment news, which is not considered political or news-related unless it concerns policy related to this theme.",stop,No.,stop
google classroon,June 2021,"No. The search query ""google classroom"" is not political or news-related when searched in June 2021 in the Netherlands. It is a practical search query seeking information about an online learning platform.",stop,No.,stop
Korting Kasteeltuinen Arcen postcodeloterij,June 2021,"No. 

The search query ""Korting Kasteeltuinen Arcen postcodeloterij"" is not political or news-related. It is a search for practical information about a discount for Kasteeltuinen Arcen offered by the Postcode Loterij.",stop,No.,stop
alfa romeo stelvio,August 2021,"No. The search query ""alfa romeo stelvio"" is not political or news-related when searched in August 2021 in the Netherlands. It is a search query seeking general information about a specific car model and does not contribute to opinion formation on political or societal topics.",stop,No.,stop
mars veghel eu subsidie,May 2021,"Yes. The search query ""mars veghel eu subsidie"" is political or news-related when searched in May 2021 in the Netherlands. It includes information about EU subsidies, which is a political and societal topic. The search query is seeking information contributing to opinion formation on this topic.",stop,Yes.,stop
TalRoh dc comic,June 2021,"No. 

The search query ""TalRoh dc comic"" does not fall under the definition of political or news-related search queries. It is related to entertainment news and culture, which are not considered political or news-related unless they concern policy related to these themes.",stop,No.,stop
karel grote keizer,September 2021,"No. 

The search query ""karel grote keizer"" does not appear to be political or news-related. It does not relate to political actors, policy, political events, news media, societal themes, or current events. It also does not concern practical information, shopping, or health. Without additional context, it is unclear what the search query is seeking information about.",stop,No.,stop
vastgoed groningen bv,September 2021,"No. ""Vastgoed Groningen BV"" is not a political or news-related search query. It is a search query seeking practical information about a specific company in the real estate sector.",stop,No.,stop
uden,July 2021,"No. 

""Uden"" is a city in the Netherlands and does not fall under the category of political or news-related search queries. It is not seeking information contributing to opinion formation on political and societal topics, nor is it related to current events about political or societal themes.",stop,No.,stop
de schreeuw,September 2021,"Yes. ""De schreeuw"" is a news-related search query when searched in September 2021 in the Netherlands. The search term refers to the recent theft of the painting ""De Schreeuw"" (The Scream) by Edvard Munch from a museum in Oslo, Norway. This news event has been widely covered by Dutch news media, and searching for ""de schreeuw"" would likely lead to news articles and updates about the investigation and recovery of the stolen painting.",stop,Yes.,stop
woonexpres,May 2021,"No. 

""Woonexpres"" is a search query related to home decor and furniture, which falls under the category of shopping and is not political or news-related.",stop,No.,stop
stemming vullings,August 2021,"No. 

The search query ""stemming vullings"" does not appear to be political or news-related. It is unclear what the search term refers to, but it does not seem to be related to political or societal themes.",stop,No.,stop
lobbyist,August 2021,"Yes. The search query ""lobbyist"" is political or news-related when searched in August 2021 in the Netherlands because it seeks information about political actors and events, policy, and societal themes. Lobbyists are individuals who engage in political activities to influence decisions made by government officials, making the search query relevant to political and societal topics.",stop,Yes.,stop
uit eten tenerife,August 2021,"No. The search query ""uit eten tenerife"" is not political or news-related. It is seeking practical information about dining options in Tenerife.",stop,No.,stop
chipup,May 2021,"No. 

There is no clear indication that the search query ""chipup"" is related to political or news-related topics. It could be related to a variety of topics such as technology, gaming, or even pet care. Without further context, it is impossible to determine whether the search query is political or news-related.",stop,No.,stop
nieuwbouw straat staat niet in naviagtie,May 2021,"No. 

The search query ""nieuwbouw straat staat niet in navigatie"" is not political or news-related. It is a practical query seeking information about navigation and finding a new street in the Netherlands.",stop,No.,stop
welke hotels hebben bedwantsen,July 2021,"No. The search query ""welke hotels hebben bedwantsen"" is not political or news-related. It is seeking practical information about hotels and bed bugs.",stop,No.,stop
gratis logo maker,June 2021,"No. 

The search query ""gratis logo maker"" is not political or news-related as it does not seek information contributing to opinion formation on political and societal topics. It is a practical search query seeking information on a tool for creating logos.",stop,No.,stop
temple living god  alkmaar,April 2021,"No. 

The search query ""temple living god alkmaar"" does not fall under the definition of political or news-related search queries as it does not seek information contributing to opinion formation on political and societal topics. It is more likely related to religion or culture.",stop,No.,stop
sunsetmarina cancun,June 2021,"No. The search query ""sunsetmarina cancun"" is not political or news-related. It is seeking practical information about a specific location in Cancun, Mexico.",stop,No.,stop
nos corona liveblog,July 2021,"Yes. The search query ""nos corona liveblog"" is news-related as it seeks information about the latest updates on the COVID-19 pandemic in the Netherlands, which is a current event related to a societal theme. It does not appear to be seeking information contributing to opinion formation on political actors, policy, or political events.",stop,Yes.,stop
kofferbak ruimte audi q3 sportback,July 2021,"No. The search query ""kofferbak ruimte audi q3 sportback"" is not political or news-related. It is a practical search query seeking information about the trunk space of a specific car model.",stop,No.,stop
treurwilg,June 2021,"No. ""Treurwilg"" is not political or news-related when searched in June 2021 in the Netherlands. It is a Dutch word for ""weeping willow,"" which is a type of tree. It does not relate to political or societal topics.",stop,No.,stop
elzas kruidige wijn,May 2021,"No. 

The search query ""elzas kruidige wijn"" is not political or news-related. It is a search for information about a specific type of wine from the Elzas region, which is not related to politics or societal themes.",stop,No.,stop
the accountant too hot to handle,July 2021,"No. 

""The accountant too hot to handle"" does not appear to be a political or news-related search query. It is likely related to entertainment news or a movie title.",stop,No.,stop
webcam cover bcc,September 2021,"No. The search query ""webcam cover bcc"" is not political or news-related when searched in September 2021 in the Netherlands. It is a practical search query seeking information about a product that can be used to cover a webcam.",stop,No.,stop
popcorn bestellen,May 2021,"No. ""Popcorn bestellen"" is not political or news-related. It is a practical search query seeking information about ordering popcorn.",stop,No.,stop
eurovisie songfestival disney,May 2021,"No. The search query ""eurovisie songfestival disney"" is not political or news-related. It is related to entertainment and culture, specifically the Eurovision Song Contest and Disney.",stop,No.,stop
ank bijleveld,September 2021,"Yes. The search query ""ank bijleveld"" is political or news-related when searched in September 2021 in the Netherlands. Ank Bijleveld is a Dutch politician who served as the Minister of Defence until her resignation in 2021. Therefore, searching for information about her is related to political and societal topics.",stop,Yes.,stop
scheefbloem 6 letters,July 2021,"No. 

The search query ""scheefbloem 6 letters"" is not political or news-related. It is a general search query seeking information about a specific topic, which in this case is a six-letter word related to the plant ""scheefbloem"".",stop,No.,stop
postnlnl,May 2021,"No. ""Postnlnl"" does not appear to be a political or news-related search query. It does not relate to political actors, policy, societal themes, news media, or current events about political or societal themes. It also does not appear to seek general information or news about societal themes.",stop,No.,stop
geldautomaat delft,June 2021,"No. The search query ""geldautomaat delft"" is not political or news-related. It is seeking practical information about the location of an ATM in Delft.",stop,No.,stop
band menwagen metzeler,July 2021,"No. The search query ""band menwagen metzeler"" is not political or news-related. It does not seek information contributing to opinion formation on political and societal topics, nor is it related to current events about political or societal themes. It is likely a search query related to a specific product or brand.",stop,No.,stop
deelauto,August 2021,"Yes. 

""Deelauto"" is a news-related search query in the Netherlands in August 2021 because it is seeking information about a societal theme, specifically car-sharing, which is a topic of interest in the country due to its potential impact on reducing carbon emissions and improving urban mobility. It is not seeking practical information about car-sharing, such as how to rent a car or how much it costs, but rather general information or news about the concept of car-sharing and its implementation in the Netherlands.",stop,Yes.,stop
how to diagnose 5 alpha reductase deficiency,June 2021,"No. The search query ""how to diagnose 5 alpha reductase deficiency"" is not political or news-related. It is a health-related query seeking information about a medical condition.",stop,No.,stop
milgram experiment,June 2021,"No. The search query ""milgram experiment"" is not political or news-related when searched in June 2021 in the Netherlands. It is a search for general information about a psychological experiment conducted in the 1960s and does not relate to current political or societal events.",stop,No.,stop
madhu mathoera bee,July 2021,"No. 

The search query ""madhu mathoera bee"" does not appear to be political or news-related. It does not relate to political actors, policy, societal themes, or current events. It also does not concern practical information, shopping, or health. Therefore, it is not political or news-related.",stop,No.,stop
coronamaatregelen belgie versoepeling,June 2021,"Yes. The search query ""coronamaatregelen belgie versoepeling"" is news-related as it seeks information about the easing of COVID-19 restrictions in Belgium, which is a current event related to a societal theme.",stop,Yes.,stop
reduan b,September 2021,"No. The search query ""reduan b"" does not appear to be political or news-related. It does not relate to political actors, policy, societal themes, news media, or current events about political or societal themes. It also does not appear to seek general information or news about societal themes. Therefore, the answer is no.",stop,No.,stop
laptoptafel ikea,May 2021,"No. The search query ""laptoptafel ikea"" is not political or news-related. It is a practical search query seeking information about a laptop table from IKEA.",stop,No.,stop
vlinderlavendel water geven,May 2021,"No. 

The search query ""vlinderlavendel water geven"" is not political or news-related. It is a practical query seeking information on how to care for a specific type of plant.",stop,No.,stop
goedkope hotelovernachting,July 2021,"No. The search query ""goedkope hotelovernachting"" is not political or news-related. It is seeking practical information about finding a cheap hotel stay.",stop,No.,stop
doel van zimbardo experiment,June 2021,"No. 

The search query ""doel van zimbardo experiment"" is not political or news-related. It is seeking general information about a psychological experiment conducted by Philip Zimbardo. It does not relate to political actors, policy, societal themes, or current events.",stop,No.,stop
asherman unreponsive hormones pregnancy,July 2021,"No. The search query ""asherman unreponsive hormones pregnancy"" is not political or news-related. It is a health-related search query seeking information about a medical condition.",stop,No.,stop
togs belastingdienst,May 2021,"Yes. 

The search query ""togs belastingdienst"" is political or news-related when searched in May 2021 in the Netherlands. This is because it concerns a policy related to the COVID-19 pandemic, specifically the Temporary Bridging Scheme for Self-Employed Entrepreneurs (TOGS) provided by the Dutch Tax and Customs Administration (Belastingdienst). The search query is seeking information about this policy, which contributes to opinion formation on a societal theme related to the pandemic and its economic impact on self-employed individuals.",stop,Yes.,stop
meisje omgekomen zwemparadijs buiten,June 2021,"Yes. The search query ""meisje omgekomen zwemparadijs buiten"" is news-related as it pertains to a recent event (the death of a girl in an outdoor swimming pool) and seeks information about the incident. It does not appear to be seeking information contributing to opinion formation on political or societal topics.",stop,Yes.,stop
Wat is een harddrive,July 2021,"No. ""Wat is een harddrive"" is not a political or news-related search query. It is seeking general information about technology and computer hardware.",stop,No.,stop
VU arnhem brand,August 2021,"No. 

The search query ""VU arnhem brand"" does not appear to be political or news-related. It is likely seeking information about a specific incident or event, which does not necessarily contribute to opinion formation on political or societal topics.",stop,No.,stop
dead and beautiful review,September 2021,"No. The search query ""dead and beautiful review"" is not political or news-related. It is related to entertainment news and seeking general information about a book or movie review.",stop,No.,stop
macht nunl,September 2021,"No. ""Macht nunl"" does not appear to be a political or news-related search query. It does not relate to political actors, policy, societal themes, news media, or current events about political or societal themes. It also does not appear to seek general information or news about societal themes. Without further context, it is unclear what ""macht nunl"" refers to, but it does not appear to be political or news-related.",stop,No.,stop
digitale handtekening maken,July 2021,"No. 

The search query ""digitale handtekening maken"" is not political or news-related. It is a practical query seeking information on how to create a digital signature.",stop,No.,stop
Energy use w hotels,September 2021,"No. The search query ""Energy use w hotels"" is not political or news-related. It is seeking practical information about energy use in hotels.",stop,No.,stop
zeumeren,September 2021,"No. ""Zeumeren"" does not appear to be a political or news-related search query. It does not relate to political actors, policy, societal themes, news media, or current events about political or societal themes. It also does not concern practical information, shopping, or health. Without further context, it is unclear what ""Zeumeren"" refers to, but it does not appear to be political or news-related.",stop,No.,stop
duits meervoud familie,September 2021,"No. The search query ""duits meervoud familie"" is not political or news-related. It is a search query seeking general information about the German plural form of the word ""family"".",stop,No.,stop
hoog catharijne openingstijden,August 2021,"No. The search query ""hoog catharijne openingstijden"" is not political or news-related. It is a practical search query seeking information about the opening hours of a shopping center in the Netherlands.",stop,No.,stop
tankstation asten,August 2021,"No. ""Tankstation asten"" is not a political or news-related search query. It is seeking practical information about a gas station in Asten, Netherlands.",stop,No.,stop
telsey,September 2021,"No. The search query ""telsey"" is not political or news-related when searched in September 2021 in the Netherlands. There is no clear indication that the search term is seeking information contributing to opinion formation on political and societal topics, nor is it related to current events about political or societal themes.",stop,No.,stop
vaccinarie china corona,July 2021,"Yes. The search query ""vaccinarie china corona"" is news-related as it seeks information about the COVID-19 pandemic and vaccination efforts in China. It is relevant to current events and societal themes related to public health and international relations.",stop,Yes.,stop
penzu,May 2021,"No. ""Penzu"" is not a political or news-related search query. It is a brand name of an online diary and journal platform.",stop,No.,stop
invloed wet en regelgeving zorg,August 2021,"Yes. The search query ""invloed wet en regelgeving zorg"" is news-related as it seeks information about the impact of laws and regulations on healthcare. It is related to societal themes and current events, and not about practical information or entertainment.",stop,Yes.,stop
mag je je studieschuld aftrekken van je vermogen,September 2021,"Yes. The search query ""mag je je studieschuld aftrekken van je vermogen"" is news-related as it seeks information about a specific policy related to education and finance in the Netherlands. It is not seeking practical information, but rather information that contributes to opinion formation on a societal theme.",stop,Yes.,stop
verschil tussen MDMA en XTC,June 2021,"No. The search query ""verschil tussen MDMA en XTC"" is not political or news-related. It is seeking general information about the difference between two drugs.",stop,No.,stop
sopro voeg kleuren,June 2021,"No. 

The search query ""sopro voeg kleuren"" is not political or news-related. It is a practical search query seeking information about the colors of a specific product (Sopro joint colors).",stop,No.,stop
ipvanish,August 2021,"No. 

The search query ""ipvanish"" is not political or news-related when searched in August 2021 in the Netherlands. This search query is related to a VPN service, which is not a political or societal topic. It is a practical search query seeking information about a specific product or service.",stop,No.,stop
albert heijn,September 2021,"No. The search query ""Albert Heijn"" is not political or news-related when searched in September 2021 in the Netherlands. Albert Heijn is a Dutch supermarket chain, and the search query is likely seeking practical information about the company, such as store locations, opening hours, and product availability.",stop,No.,stop
strremove in r,September 2021,"No. 

The search query ""strremove in r"" is not political or news-related as it is related to programming in the R language and does not contribute to opinion formation on political or societal topics.",stop,No.,stop
drugscriminaliteit portugal,July 2021,"Yes. The search query ""drugscriminaliteit portugal"" is news-related as it seeks information about a societal theme, specifically drug-related crime in Portugal. It is not seeking practical information but rather news or general information about the topic.",stop,Yes.,stop
werkboek moderne wiskunde 1a,September 2021,"No. The search query ""werkboek moderne wiskunde 1a"" is not political or news-related. It is a search for a math workbook and does not relate to political or societal themes.",stop,No.,stop
corona persconferentie wanneer,May 2021,"Yes. The search query ""corona persconferentie wanneer"" is news-related as it seeks information about a specific event (corona press conference) related to a societal theme (COVID-19). It is not seeking practical information about COVID-19, but rather news about a political event related to the pandemic.",stop,Yes.,stop
tweedehands kleiding zeeman nijmegen,June 2021,"No. The search query ""tweedehands kleiding zeeman nijmegen"" is not political or news-related. It is a search for practical information about second-hand clothing at Zeeman in Nijmegen.",stop,No.,stop
amazone de,May 2021,"No. ""Amazone de"" does not fall under the category of political or news-related search queries. It is unclear what the searcher's intention is, but it is unlikely to be related to political or societal themes.",stop,No.,stop
optisport de schelft,May 2021,"No. 

The search query ""optisport de schelft"" does not appear to be political or news-related. It is likely seeking practical information about a specific sports facility in the Netherlands.",stop,No.,stop
de vraag stellen is hem beantwoorden,July 2021,"No. ""De vraag stellen is hem beantwoorden"" is not political or news-related. It is a Dutch proverb that translates to ""Asking the question is answering it"" and is used to indicate that the answer to a question is obvious or self-evident. It does not relate to political or societal themes.",stop,No.,stop
Carly Transformers Animated,July 2021,"No. The search query ""Carly Transformers Animated"" is not political or news-related. It is related to entertainment and falls under the category of culture.",stop,No.,stop
openingstijden ing zwolle,August 2021,"No. The search query ""openingstijden ing zwolle"" is not political or news-related. It is seeking practical information about the opening hours of a bank branch in Zwolle.",stop,No.,stop
horizon side mission levels,June 2021,"No. The search query ""horizon side mission levels"" is not political or news-related. It is a search query related to a video game and does not contribute to opinion formation on political or societal topics.",stop,No.,stop
handbrake drm,September 2021,"No. The search query ""handbrake drm"" is not political or news-related when searched in September 2021 in the Netherlands. This search query is related to technical information about software and digital rights management, which does not fall under the definition of political or news-related search queries.",stop,No.,stop
ing geld opnemen kosten,June 2021,"No. 

The search query ""ing geld opnemen kosten"" is not political or news-related. It is a practical query seeking information about the costs of withdrawing money from ING bank.",stop,No.,stop
wat is politiek links en rechts,July 2021,"Yes. The search query ""wat is politiek links en rechts"" is political because it seeks information contributing to opinion formation on political and societal topics, specifically about political ideology and its classification into left and right. It is not seeking practical information or information about entertainment, sports, or culture.",stop,Yes.,stop
audiobookcup stella fortuna,June 2021,"No. 

The search query ""audiobookcup stella fortuna"" does not relate to political or news-related topics. It is a search for an audiobook, which is not related to politics or societal themes.",stop,No.,stop
bijenkorf cadeaucard werkt niet,April 2021,"No. The search query ""bijenkorf cadeaucard werkt niet"" is not political or news-related. It is a practical query seeking information about a specific issue with a gift card at a department store.",stop,No.,stop
knibbel knabbel knuisje,July 2021,"No. ""Knibbel knabbel knuisje"" is not a political or news-related search query. It is a nursery rhyme or children's song in Dutch.",stop,No.,stop
internet van telefoon naar tablet,June 2021,"No. 

The search query ""internet van telefoon naar tablet"" is not political or news-related. It is seeking practical information about how to connect to the internet on a tablet using a phone.",stop,No.,stop
krantbericht zonder paywall,July 2021,"Yes. The search query ""krantbericht zonder paywall"" is news-related as it seeks information about accessing news articles without paywalls. It does not appear to be seeking information contributing to opinion formation on political or societal topics.",stop,Yes.,stop
het weer wijk aan zee,June 2021,"No. The search query ""het weer wijk aan zee"" is not political or news-related. It is seeking practical information about the weather in a specific location.",stop,No.,stop
de service user profile service verhindert het aanmelden windows 7 regedit,May 2021,"No. 

The search query ""de service user profile service verhindert het aanmelden windows 7 regedit"" is not political or news-related. It is a technical query related to a computer issue.",stop,No.,stop
golfslag betekenis,July 2021,"No. 

The search query ""golfslag betekenis"" does not relate to political or news-related topics. It is a general search query seeking information about the meaning of a term, which does not contribute to opinion formation on political or societal topics.",stop,No.,stop
slugma,July 2021,"No. 

""Slugma"" is a term related to the Pokémon franchise and does not fall under the definition of political or news-related search queries. It is not seeking information contributing to opinion formation on political and societal topics, nor is it related to current events about political or societal themes.",stop,No.,stop
de spiegel kapper leeuwarden,August 2021,"No. The search query ""de spiegel kapper leeuwarden"" is not political or news-related. It is a practical search query seeking information about a specific hair salon in Leeuwarden, Netherlands.",stop,No.,stop
pc spellen vrouwen,August 2021,"No. 

The search query ""pc spellen vrouwen"" is not political or news-related. It is a search query seeking practical information about computer games for women.",stop,No.,stop
